Svenska;Spanska;Kategori
Förenta nationernas allmänna förklaring om de mänskliga rättigheterna;La Declaración Universal de los Derechos Humanos de la ONU;Migration
FN:s flyktingkonvention;Convencion sobre el estatuto de los refugiados;Migration
Ratificera;Ratificar;Migration
FN:s konvention om barns rättigheter (Barnkonventionen);La convención de los derechos del niño de la ONU;Migration
Europakonventionen;El convenio europeo (de derechos humanos);Migration
New York-konventionen om statslösa personers rättsliga ställning;Convención sobre el Reconocimiento y la Ejecución de las Sentencias Arbitrales Extranjeras (Nueva York, 1958);Migration
Istanbulkonventionen;El Convenio de Estambul;Migration
Antitortyrkonventionen;La convención contra la tortura;Migration
Migrationsverket;La dirección general de migraciones de Suecia;Migration
Enrådsmyndighet; ;Migration
Regleringsbrev;Carta de regulación;Migration
Särskilt uppdrag; ;Migration
Statens invandrarverk; ;Migration
Invandringspolitik;Política de inmigración;Migration
Återinvandring;Inmigración de retorno;Migration
Medborgarskapsfråga;Asunto de ciudadania;Migration
Återvandring;Migración de Retorno;Migration
Invandrarpolitik;Política de inmigración;Migration
Invandringsreglering;Regularización de inmigración;Migration
Integration;Integración;Migration
Samhällsgemenskap;Cohesión social;Migration
Invandrarorganisation;Organización de inmigrantes;Migration
Region;Región;Migration
Operativ verksamhet;Actividad operativa;Migration
Avdelning;Departamento;Migration
Fristående funktion;Función independiente;Migration
Myndighetsstab;Plana mayor de la autoridad, equipo de plana mayor de;Migration
Insynsråd;Consejo de transparencia;Migration
Etiskt råd;Consejo ético;Migration
Rätts- och landinformation, LIFOS (Landinformation och rättslig styrning);Base de datos de información sobre países de origen, Información de los países y de su forma jurídica de gobierno.;Migration
Migrationsverkets statistik;La estadística de la dirección general sueca de Migración.;Migration
Förordning med instruktioner för Migrationsverket;Decreto con instrucciones para la Dirección General de Migración.;Migration
Migrationsarbete;Trabajo de migración;Migration
En gemensam avsiktsförklaring;Una declaración de intenciones conjunta;Migration
Samhällsutveckling;Desarrollo de la sociedad;Migration
e-samverkansprogram;Programa digital de cooperación;Migration
Samverkan mot brottslighet;Coooperación contra la delincuencia;Migration
Anläggning;Instalacion;Migration
Migrationsdomstol;Tribunal de migración;Migration
Migrationsprocess;Proceso de migración;Migration
Myndighetsbeslut;Resolución administrativa;Migration
Migrationsöverdomstol;Tribunal supremo de migración;Migration
Överklagande;Apelación, recurso;Migration
Migrationsverkets beslut;Resolución de la Dirección General de Migraciones;Migration
Förordna;Decretar, nombrar, designar;Migration
Fullmakt;Poder, autorización, mandato de representación;Migration
Ompröva beslut;Reconsiderar una decisión;Migration
Klagande;Recurrente, apelante;Migration
Ärende;Asunto, caso;Migration
Återtagande;Readmisión;Migration
Acceptera beslut;Acatar una resolución;Migration
Nöjdförklara/förklara sig nöjd med;Aceptar (una sentencia);Migration
Allmän förvaltningsdomstol;Tribunal administrativo general;Migration
Högsta förvaltningsdomstol;El tribunal supremo administrativo;Migration
lagrummet.se; ;Migration
Asylmål;Casos/asuntos de asilo;Migration
Anknytningsmål/anhörigmål;Casos de reagrupación familiar;Migration
Tillståndsmål;Casos de autorización;Migration
Medborgarskapsmål;Casos de ciudadanía;Migration
Viseringsmål;Casos de visado;Migration
Domsområde;Distrito jurídico;Migration
Säkerhetsärende;Asunto de seguridad;Migration
Juristdomare/lagfaren domare;Juez legal, juez letrado, juez de carrera;Migration
Nämndeman/lekmannadomare;Juez lego;Migration
Utslagsröst;Voto de calidad;Migration
Röstetal;Número de votos;Migration
Prejudikat/principiell betydelse/prejudicerande;Precedente;Migration
Handläggning av mål;Tramitación de casos;Migration
Handläggas skyndsamt;Se tramita de forma urgente, se debe hacer/tramitar con la máxima celeridad;Migration
Ta i beaktande;Tener en cuenta, considerar;Migration
Stängda dörrar/lyckta dörrar;Puertas cerradas;Migration
Muntlig förhandling/skriftlig förhandling;Vista oral/escrita, procedimiento oral/ escrito;Migration
Motpart;Contraparte, parte contraria;Migration
Tvåpartsprocess;Proceso inter partes, proceso entre dos partes;Migration
Sökande;Solicitante;Migration
Undanröja beslut;Revocar, suprimir/ eliminar una resolución;Migration
Återförvisning av mål;Remisión de un caso/ asunto;Migration
Första instans;Primera instancia;Migration
Slutinstans/högsta instans;Última instancia;Migration
Prövningstillstånd;Permiso de admisibilidad;Migration
Offentligt biträde vid domstol/rättsligt biträde;Asistente jurídico de oficio;Migration
Rättegångsbalken;El Código procesal;Migration
Förvaltningsprocesslagen (FPL);La ley de procedimiento administrativo;Migration
Förvaltningsprocessenheten;La unidad procesal administrativa;Migration
Tolk;Intérprete;Migration
Överprövning av myndighetsbeslut;Revisión de resolución administrativa;Migration
